date,Tweet,Label
2020-11-21 17:49:07,السلام عليكم والله ماني عارف اتواصل معكم جوالي يتصل وmystc يقول باسورد خطأ عندي dsl ميقا وليته يصمل عليها يقطع عندي النت باستمرار تواصلت الدعم الفني طريق الواتس قالوا لازم ترفع بلاغ اما بالاتصال او ماي اس سي نبي حل عندكم تكفون,-1
2020-11-21 04:17:48,خيار الاستلام الفرع تطبيق ماي اس سي لايعمل مالمشكلة,-1
2020-11-21 01:21:47,سداد مبلغ ماي اس سي تظهر عبارة عملية الدفع مكتملة مالمشكلة المحتملة,-1
2020-11-20 05:57:07,وين ماحصلت شي ماي اس سي,-1
2020-11-19 18:29:52,لقيته ماي اس سي خلاص,0
2020-11-19 18:29:30,ادخل تطبيق ماي اس سي للثابت لأنه يطلب مني رقم جوال لارسال الباسوورد,0
2020-11-19 16:45:08,تطبيق ماي اس سي اسسسرع شي انا اليوم بيجيبه المندوب الساعه,1
2020-11-19 11:20:36,طريق ماي اس سي,0
2020-11-19 09:26:51,السلام عليكم اطلب جوال اقساط طريق ماي اس سي,1
2020-11-18 23:35:00,سو ترقيه مثلي رفعتها ريال شهريا الى شهريا ومايكون استخدام عادل او يكون الحد عشر قيقا بدل سته اسمها مفوتر اربعه شكلها تقدر ترقيها خلال تطبيق ماي اس سي,1
2020-11-18 22:24:38,+ يوم ادخل تطبيق ماي اس سي يعطيني انها بدون استخدام عادل,-1
2020-11-18 21:12:00,موجود تطبيق ماي اس سي اطلبه,1
2020-11-18 19:29:27,سويت نقل ملكية رقم تطبيق ماي اس سي الطرف الثاني يوافق النقل التطبيق يقدر يروح لجهاز الخدمة يبي يخلص الموافقه التطبيق,0
2020-11-18 18:51:52,اي برنامج ماي اس سي قصدك مسجل وكلش,0
2020-11-18 18:31:21,تقصرون جربت خدمة طلب شريحه تطبيق ماي اس سي وكان التوصيل سريع وممتاز الف شكر افضل شركه,1
2020-11-18 09:46:12,السلام عليكم عندي اشكاليه ؛ طلبت شريحة كويك نت مسبقة الدفع طريق تطبيق ماي اس سي وللان ماتم التواصل معي سوا اتصال او رسائل نصيه ، علما اني تواصلت وماستجاب معي الموظف نهائيا ؛ واحتاج استفسر برقم الطلب توصلني,-1
2020-11-17 21:40:35,يقولون اتوفر ماي اس سي,0
2020-11-17 21:40:17,يقولون اتوفر ماي اس سي,0
2020-11-17 21:40:03,يقولون اتوفر ماي اس سي,0
2020-11-17 16:27:46,مرحبا ابي احول رصيد شريحة مفوترة الى شريحة مسبقة الدفع، ابي طريقة ماي اس سي,0
2020-11-17 10:00:12,عندي علبة خاصة وتقدمت بطلبات عليها تقول تعال خاص او طريق البرنامج ماي اس سي ابغى خل الملا واذا مافي حل اعترف بالنقص وريحنا,-1
2020-11-16 20:34:12,ردو يتوفر تطبيق ماي اس سي,0
2020-11-16 20:13:30,تضحكون باقي صفحه ماي اس سي وهي متوفره,-1
2020-11-16 14:40:48,السلام عليكم طلبت سوني ماي اس سي راح يتم التوصيل اي وقت,0
2020-11-16 13:20:09,ابي شريحة بشكل عاجل اقدر اطلعها ماي اس سي,0
2020-11-16 09:16:32,تاكد التغطيه ب ماي اس سي ممكن واصل عندكم راح ترتاح,1
2020-11-16 09:06:36,کیا آپ اس سے متفق ہیں کے میں تے بلکل ہاں پوری ن لیگ کُھڈے لین لوا دِتی اے اس مائ نے۔۔۔,0
2020-11-16 08:56:45,سددت فاتوره ومالقيتها ماي اس سي بنفس المبلغ اللي سددت احصلها,-1
2020-11-15 05:44:42,ماي اس سي شفيه الله ياخذكم,-1
2020-11-14 21:56:11,تروح اس سي تسوي طلب مبسق وتدفع حقه ولما يوصل يكلموك او طريق تطبيق ماي اس سي,0
2020-11-14 00:12:44,اقدر احول رقمي شحن الى فاتورة خلال تطبيق ماي اس سي,0
2020-11-13 18:37:32,السلام عليكم اقدر اطلب ايفون لشخص ثاني وتتواصلون معه لانه رقمه موبايلي وانا اطلبه ماي اس سي وحط رقمه,0
2020-11-12 02:44:30,السلام عليكم، أريد فصل خدمة الانترنت مؤقتا ، وليس لدي حساب ماي اس سي لانه لدي رقم الاتصالات,0
2020-11-12 01:12:43,اما معلق و انا رايح تطبيق ماي اس سي اقولهم النت ضعيف هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,-1
2020-11-11 19:22:13,السلام عليكم اخوي نازله فاتوره ب حقت شهرين ورفعت طلب ماتردون واروح الفرع يقولون مانقدر نخدمك والنت الحين منقطع ابي سبب ل وطالب جوي مجاني كلمتني موظفه ويوم دخلت ماي اس سي طلع بفلوس,
2020-11-11 16:48:05,السلام عليكم حولت شريحتي الى مدمجه عبر ماي اس سي قبل فتره والان اريد ان ارجعها شريحه عاديه الطريقه,
2020-11-11 15:11:19,السلام عليكم وشلون اقدر الغي خدمة الفايبر والرقم طريق ماي اس سي تعليق الهاتف المنزلي مؤقتا,
2020-11-11 11:37:48,احتاج الي حل لتطبيق ماي اس سي شغال,
2020-11-11 11:37:24,السلام عليكم سمحتو اسبوعين ابي اطلب ايفون برو تطبيق ماي اس سي يقول متوفر ممكن تشوفون اي فرع متوفر ايفون برو جيجا ازرق او ذهبي وانا بروح للفرع واذا ابي راح يكون متوفر,
2020-11-11 10:12:33,انا سمعت عنهم ماجربت ماي اس سي الشروط وتقدر تطلبه يجيبونه للبيت,
2020-11-10 10:04:38,ابي انقل ملكيه ورحت للخدمات الذاتيه وقال تم بنجاح فتحت تطبيق ماي اس سي وفتحت طلباتي لقيت مكتوب بانتظار قبول المالك الجديد جاني رساله بشيء فهل يعتبر موافق او وش,
2020-11-10 08:40:28,السلام عليكم يستغرق الطلب ماي اس سي شريحه جديده يوم,
2020-11-10 01:20:00,تنزلون ايفون برو ماكس مالقيته بتطبيق ماي اس سي ابي اعرف سعره الله يعافيكم,
2020-11-09 08:05:14,انا طلبت قبل شوي ايفون طريق ماي اس سي واكملت اجراءات الدفع جاني بعدها حجزناه استلمه الجمعه القادمه,
2020-11-08 21:16:29,احذف الفيزا ماي اس سي,
2020-11-08 20:44:02,ارغب تفعيل باقه منصتي اجد الباقه ماي اس سي,
2020-11-08 20:40:13,بالله شلون ماطلعتي ماي اس سي,
2020-11-08 11:31:55,عندكم خطاء بالتطبيق ماي اس سي ( اتحداك تفهم وش مكتوب تحت,
2020-11-08 11:13:20,السلام عليكم انا محول مبلغ التطبيق ماي اس سي بتاريخ / ومافي شيء وصلني كلمت الموظف مره يقول يوصل يوصل ومافي شي يرضيك وشكرا,
2020-11-07 19:13:50,السلام عليكم بغيت اسوي كلمه مرور ماي اس سي مو راضي يطلع غلط,
2020-11-07 00:16:16,السلام عليكم انا شريحتي اكترونيه وسويت تبديل جهاز الى جهاز وسويت ازالة مم الجهاز الاخر انقلها الى الجهاز الاخر واذا تطبيق ماي اس سي ناسي كلمة السر واسم المستخدم,
2020-11-06 16:24:01,احد يقولي ماي اس سي خدمه عملاء حتي هيئه الاتصالات ماحل موضوعي للاسفانتم الي ذكرتهم محد اعطاني حل انا مرات ازور مكاتبهم ويقولوا انحلت اخرج يجيني اتصال يقولي مافي حل تسدد اسدد فلوس بدون خدمه ليش باي وجه حق,
2020-11-06 15:05:11,احد يقولي ماي اس سي خدمه عمله حتي هيئه الاتصالات انحلت موضوعي للاسفانتم الي ذكرتهم محد اعطاني حل انا مرات ازور مكاتبهم ويقولوا انحلت اخرج يجيني اتصال يقولي مافي حل تسدد اسدد فلوس بدون خدمه ليش باي وجه حق,
2020-11-06 14:52:23,شوف الاسعار ابومرزوق 😱 الاسعارمن خلال تطبيق ماي اس سي الخاص بشركة الاتصالات السعودية كنت بطلبه وهونت يوم شفت السعر ظالم اشتري افخم واطلق جوال اندرويد يوصل هالسعر افكر اشتري برو ماكس بدال 😎,
2020-11-05 22:39:06,السلام عليكم افتح تطبيق ماي اس سي وانا مضيع الرقم الاساس وناسي الاميل,
2020-11-05 18:42:21,اللي يعرف لتطبيق ماي اس سي يجي ضروري ابي خدمه بسرعه😭💔,
2020-11-05 18:26:22,ادخلي الحساب او اذا بمقدورك تحملي تطبيق ماي اس سي اذا كان الرقم باسمك وابحثي تلغي الاشتراكات افلاس شركات الاتصالات تفعل خدمات للمشتركين علمهم لخصم الرصيد اي مقابل او اي استفادة للخدمة المشتركة والتي تعلم عنها اصلا,
2020-11-04 20:55:06,مساء الورد الغالي قبل اشوي دخلت ماي اس سي دخلت الاشتراكات طلع ( تفاصيل الشريحة المدمجة لآبل واتش ) اختفت لعله قربت😍,
2020-11-04 18:21:45,السلام عليكم انقل ارقام حسابي الى حساب الشركه تطبيق ماي اس سي الطريقه لزم الفرع طريق الموقع حق اعمالي,
2020-11-04 14:55:06,زمان بلشه رفع برقيه الحين يد فنجال ويد تكتب البرقيه بجوالك وانت ببيتك,
2020-11-04 14:18:38,ممكن الاشتراك بباقات مكالمات فقط ارسل الى واحد جواله كشاف ماعنده ماي اس سي 😰,
2020-11-04 09:02:27,قدمت طلب تطبيق ماي اس سي اسبوع اتصل يقولي باسرع تنفذ الخدمة للاسف للان ينفذ مالحل,
2020-11-03 17:56:12,ايوا ارسلت يقولي ارسل طريق ماي اس سي ارسل يقولي مااقدر اخدمك طلب استني الين احد يعبرك,
2020-11-03 13:11:36,السلام عليكم اذا تم تحويل مبلغ تطبيق ماي اس سي مته يصل المبلغ للبنك,
2020-11-03 08:39:15,سمحتو شوفو حل انا عندي شريحة إنترنت وسددت طريق ماي اس سي طريق مدى وانسحبت فلوسي وعندنا اختبارات ومحاضرات والا الان مارجع الانترنيت شوفو حل الله يسعدكم,
2020-11-03 07:22:57,استطيع اضافة بطاقة ائتمانية تطبيق ماي اس سي، جربت بطاقتين ونفس الرسالة، تواصلت البنك وقال المشكلة التطبيق يوجد خطأ البطاقة او المعلومات المدخلة، التطبيق محدث لاخر اصدار وللعلم البطاقتين مفعلتين تطبيق اس سي,
2020-11-02 14:18:13,متجر ماي ستور حق اس سي ويجيك بكره,
2020-11-01 09:26:11,يالييييل 😂😂 موقع ماي اس سي,
2020-11-01 06:14:44,ادخل ماي اس سي يوم راح تتفوتر الفاتوره يطلع المبلغ الرصيد استخدم * قبل الرقم الا راح تتصل,
2020-10-31 13:40:21,السلام عليكم اخوي انا عندي رقم مميز فا خشيت ماي اس سي ماحصلتهكيف وشلون يعني,
2020-10-31 12:12:23,مساء الخير انا طلبت جهاز ايفون طريق ماي اس سي اسبوعين او اكثر ولم يرد احد وكل مره اكلم يقولون رفعنا عملنا وكله كلام وغير انهم اتصلو علي مده وقالو عندك خصم نت المنزل تعمل ترقيه الي ونوصل الجهاز الرسيفر والي الان يصل شي,
2020-10-31 00:30:19,سمحت انا تطبيق ماي اس سي اشارك دايم بالمسابقه واجاباتي صح ليش ماعمري فزت معكم انتم متئ تسحبون حافظه خدماتكم وليتني افوز 🙁,
2020-10-30 14:50:14,النسخة الرقمية مو متوفرة لاعب جرير إكسترا ماي ستور اس سي امازون ) : راح استعجل لان فعليا احتاج البلوري,
2020-10-29 21:28:34,السلام عليكم ياخوي تطبيق ماي اس سي اتعبني يقول انت مسجل حساب قبل ولاجيت دخلت رقم الهوية الجوال يقول الرقم خطأ سويت نسيت الرقم يقولي خطأ,
2020-10-29 21:15:07,تم الاشتراك بشاهد طريقكم وحتى الان استطع الدخول الحل يعطيني ماي اس سي مفعل وادخل ع موقع شاهد يقولي ماشتركت ذالك,
2020-10-29 20:10:38,اقدر اطلع شريحة الكترونية تطبيق ماي اس سي ماكينة او شي,
2020-10-29 12:20:16,تقفل الجوال وابي ادخل تطبيق ماي اس سي ويرسل الكود طريقه تغير رقم جوال ثاني خاص,
2020-10-29 05:50:53,ادخل تطبيق ماي اس سي واطلبه ويجيك لباب بيتك,
2020-10-28 21:34:03,السلآم عليكم تم التحويل بنك الراجحي الى حساب ماي اس سي والى الان تصل علما ان الحوالة تمت امس,
2020-10-28 21:29:32,تم التحويل بنك الراجحي الى حساب ماي اس سي والى الان تصل علما ان الحوالة تمت امس,
2020-10-28 21:25:48,تم التحويل بنك الراجحي الى حساب ماي اس سي والى الان تصل علما ان الحوالة تمت امس,
2020-10-28 21:07:23,ماي اس سي,
2020-10-28 20:20:59,افضل تطبيق صراحه ماي اس سي,
2020-10-28 17:53:19,السلام عليكم اخوان عندي ماي اس سي جاني عرض خصم ٪ شهري اشتراك اشترك مجاني ايش ماني فاهمه انا يعني ايش مميزاته,
2020-10-27 14:37:03,الشريحه السابقه معك اشحنيها وراح تشتغل نزلي تطبيقات ماي اس سي,
2020-10-27 14:10:56,يتوفر الايفون برو الازرق بالرياض داخل تطبيق ماي اس سي,
2020-10-27 13:36:21,ليه مافي تفاصيل الكمرات عندكم اللي ماي اس سي الموظفين عارفين وش الفرق بينها احتاج احد يعطيني تفصيل عنها ومميزاتها,
2020-10-27 11:31:10,ماادخل ماي اس سي يطلع سؤال مسابقة واخذ الجواب موقعكم وكل مرة يقول خطأ وش هالاستغفال بعقولنا,
2020-10-27 08:16:26,ايش المشكله تطبيق ماي اس سي معلق ممكن تفيدونا,
2020-10-26 11:23:49,ماي اس سي,
2020-10-26 09:21:14,اطلبه تطبيق ماي اس سي,
2020-10-26 00:50:01,طيب ياخوي جزاك الله خير ابي الغي الطلب تطبيق ماي اس سي واغير بيتي الى كويك نت متنقل مو راضي يلغي الطلب الى الان,
2020-10-25 19:43:11,سمحتوا ماي اس سي يشتغل عندي مدري وش السبب,
2020-10-25 16:32:54,السلام عليكم ، ليش خدمة الطلب المسبق تطبيق ماي اس سي مو متوفرة سكاكا,
2020-10-25 10:31:37,حاولت الحصول الجهاز عبر التطبيق ايفون وانا احاول الان نزل ومو متوفر منطقتي الجلكسي انا اتكلم تطبيق ماي اس سي اقساط,
2020-10-25 09:41:02,عندكم مشكله تطبيق ماي اس سيلان اول احاول افتح ابغى اشحن بيانات ولاراضي,
2020-10-24 19:29:40,لماذا لايمكن تحويل الا مفوتر ماي اس سي,
2020-10-24 17:55:30,تطبيق ماي اس سي,
2020-10-24 12:58:45,موقع ماي اس سي متعطل اذا بطلب جوال يقول متوفر الوقت الحالي,
2020-10-24 01:57:29,حوله تطبيق ماي اس سي عادي,
2020-10-23 16:37:40,السلام عليكم ماهي الخطوات اللي اسويها عشان اشتري الايفون بالاقساط طريق تطبيق ماي اس سي,
2020-10-22 16:19:18,عفواً أخوي ايش أوضح الخدمة ألتغت عندي ينخصم رصيدي مرة ألغيتها تطبيق ماي اس سي ومرة الرسائل النصية,
2020-10-21 21:22:35,ادخل ع ماي اس سي وشوف الاجهزه اللي يسمح بعمل التقسيط انا عندي جهازين اقساط عندهم,
2020-10-21 11:35:53,السلام عليكم اذا طلبت موقع ماي اس سي يطلع الموقع مغطى,
2020-10-21 11:33:47,السلام عليكم اذا دخلت ماي اس سي وابي اطلب جوال يطلع الموقع مغطى,
